,channelsKeep
0,EEG AC_01-REF
1,EEG AC_02-REF
2,EEG AC_03-REF
3,EEG AC_04-REF
4,EEG AC_05-REF
5,EEG AC_06-REF
6,EEG AC_07-REF
7,EEG AC_08-REF
8,EEG AC_09-REF
9,EEG AC_10-REF
10,EEG AH_01-REF
11,EEG AH_02-REF
12,EEG AH_03-REF
13,EEG AH_04-REF
14,EEG AH_05-REF
15,EEG AH_06-REF
16,EEG AI_01-REF
17,EEG AI_02-REF
18,EEG AI_03-REF
19,EEG AI_04-REF
20,EEG AI_05-REF
21,EEG AI_06-REF
22,EEG AI_07-REF
23,EEG AI_08-REF
24,EEG AI_09-REF
25,EEG AI_10-REF
26,EEG A_01-REF
27,EEG A_02-REF
28,EEG A_03-REF
29,EEG A_04-REF
30,EEG A_05-REF
31,EEG A_06-REF
32,EEG HG_01-REF
33,EEG HG_02-REF
34,EEG HG_03-REF
35,EEG HG_04-REF
36,EEG HG_05-REF
37,EEG HG_06-REF
38,EEG HG_07-REF
39,EEG HG_08-REF
40,EEG HG_09-REF
41,EEG HG_10-REF
42,EEG OF_01-REF
43,EEG OF_02-REF
44,EEG OF_03-REF
45,EEG OF_04-REF
46,EEG OF_05-REF
47,EEG OF_06-REF
48,EEG OF_07-REF
49,EEG OF_08-REF
50,EEG OF_09-REF
51,EEG OF_10-REF
52,EEG PC_01-REF
53,EEG PC_02-REF
54,EEG PC_03-REF
55,EEG PC_04-REF
56,EEG PC_05-REF
57,EEG PC_06-REF
58,EEG PC_07-REF
59,EEG PC_08-REF
60,EEG PC_09-REF
61,EEG PC_10-REF
62,EEG PH_01-REF
63,EEG PH_02-REF
64,EEG PH_03-REF
65,EEG PH_04-REF
66,EEG PH_05-REF
67,EEG PH_06-REF
68,EEG PI_01-REF
69,EEG PI_02-REF
70,EEG PI_03-REF
71,EEG PI_04-REF
72,EEG PI_05-REF
73,EEG PI_06-REF
74,EEG PI_07-REF
75,EEG PI_08-REF
76,EEG PI_09-REF
77,EEG PI_10-REF
