ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,ECG,,ECG
RR,RR,,,,,,,,,,,,,,,,,,,,,,,,,,
IBI,IBI,,,,,,,,,,,,,,,,,,,,,,,,,,
Bursts,Bursts,,,,,,,,,,,,,,,,,,,,,,,,,,
Suppr,Suppr,,,,,,,,,,,,,,,,,,,,,,,,,,
D2 03,,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,,D2 03
D2 04,,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,,D2 04
D2 05,,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,,D2 05
D2 06,,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,,D2 06
D3 01,,D3 01,D3 01,D3 01,D3 01,D3 01,D3 01,D3 01,D3 01,D3 01,D3 01,D3 01,,D3 01,D3 01,D3 01,D3 01,D3 01,D3 01,D3 01,D3 01,D3 01,D3 01,D3 01,D3 01,,D3 01
D3 02,,D3 02,D3 02,D3 02,D3 02,D3 02,D3 02,D3 02,D3 02,D3 02,D3 02,D3 02,,D3 02,D3 02,D3 02,D3 02,D3 02,D3 02,D3 02,D3 02,D3 02,D3 02,D3 02,D3 02,,D3 02
D3 03,,D3 03,D3 03,D3 03,D3 03,D3 03,D3 03,D3 03,D3 03,D3 03,D3 03,D3 03,,D3 03,D3 03,D3 03,D3 03,D3 03,D3 03,D3 03,D3 03,D3 03,D3 03,D3 03,D3 03,,D3 03
D3 04,,D3 04,D3 04,D3 04,D3 04,D3 04,D3 04,D3 04,D3 04,D3 04,D3 04,D3 04,,D3 04,D3 04,D3 04,D3 04,D3 04,D3 04,D3 04,D3 04,D3 04,D3 04,D3 04,D3 04,,D3 04
D3 05,,D3 05,D3 05,D3 05,D3 05,D3 05,D3 05,D3 05,D3 05,D3 05,D3 05,D3 05,,D3 05,D3 05,D3 05,D3 05,D3 05,D3 05,D3 05,D3 05,D3 05,D3 05,D3 05,D3 05,,D3 05
D3 06,,D3 06,D3 06,D3 06,D3 06,D3 06,D3 06,D3 06,D3 06,D3 06,D3 06,D3 06,,D3 06,D3 06,D3 06,D3 06,D3 06,D3 06,D3 06,D3 06,D3 06,D3 06,D3 06,D3 06,,D3 06
