,start_overlap,end_overlap,duration_overlap,duration_overlap_sec
0,2013-06-30 06:57:42,2013-06-30 07:25:17,0 days 00:27:36,1656.0
1,2013-06-30 06:57:42,2013-06-30 06:59:21,0 days 00:01:40,100.0
2,2013-06-30 06:57:42,2013-06-30 07:12:19,0 days 00:14:38,878.0
3,2013-06-30 06:57:42,2013-06-30 07:25:17,0 days 00:27:36,1656.0
4,2013-06-30 06:57:42,2013-06-30 07:25:17,0 days 00:27:36,1656.0
5,2013-06-30 06:57:42,2013-06-30 07:25:17,0 days 00:27:36,1656.0
6,2013-06-30 06:57:42,2013-06-30 06:57:46,0 days 00:00:05,5.0
7,2013-06-30 06:57:42,2013-06-30 06:59:21,0 days 00:01:40,100.0
8,2013-06-30 06:57:42,2013-06-30 07:12:19,0 days 00:14:38,878.0
9,2013-06-30 06:57:42,2013-06-30 08:00:57,0 days 01:03:16,3796.0
10,2013-06-30 06:57:42,2013-06-30 07:59:06,0 days 01:01:25,3685.0
11,2013-06-30 06:57:42,2013-06-30 07:58:25,0 days 01:00:44,3644.0
12,2013-06-30 06:57:42,2013-06-30 06:57:46,0 days 00:00:05,5.0
13,2013-06-30 06:57:42,2013-06-30 06:59:21,0 days 00:01:40,100.0
14,2013-06-30 06:57:42,2013-06-30 06:59:21,0 days 00:01:40,100.0
15,2013-06-30 06:57:42,2013-06-30 06:59:21,0 days 00:01:40,100.0
16,2013-06-30 06:57:42,2013-06-30 06:59:21,0 days 00:01:40,100.0
17,2013-06-30 06:57:42,2013-06-30 06:57:46,0 days 00:00:05,5.0
18,2013-06-30 06:57:42,2013-06-30 07:12:19,0 days 00:14:38,878.0
19,2013-06-30 06:57:42,2013-06-30 07:12:19,0 days 00:14:38,878.0
20,2013-06-30 06:57:42,2013-06-30 07:12:19,0 days 00:14:38,878.0
21,2013-06-30 06:57:42,2013-06-30 06:57:46,0 days 00:00:05,5.0
22,2013-06-30 06:57:42,2013-06-30 07:59:06,0 days 01:01:25,3685.0
23,2013-06-30 06:57:42,2013-06-30 07:58:25,0 days 01:00:44,3644.0
24,2013-06-30 06:57:42,2013-06-30 06:57:46,0 days 00:00:05,5.0
25,2013-06-30 06:57:42,2013-06-30 07:58:25,0 days 01:00:44,3644.0
26,2013-06-30 06:57:42,2013-06-30 06:57:46,0 days 00:00:05,5.0
27,2013-06-30 06:57:42,2013-06-30 06:57:46,0 days 00:00:05,5.0
28,2013-06-30 15:17:30,2013-06-30 15:54:26,0 days 00:36:57,2217.0
29,2013-06-30 18:00:58,2013-06-30 18:04:44,0 days 00:03:47,227.0
