,channelsKeep
0,LA 01
1,LA 02
2,LA 03
3,LA 04
4,LA 05
5,LA 06
6,LA 07
7,LA 08
8,LAH 01
9,LAH 02
10,LAH 03
11,LAH 04
12,LAH 05
13,LAH 06
14,LAH 07
15,LAH 08
16,LPH 01
17,LPH 02
18,LPH 03
19,LPH 04
20,LPH 05
21,LPH 06
22,LPH 07
23,LPH 08
24,LPH 09
25,LPH 10
26,RA 01
27,RA 02
28,RA 03
29,RA 04
30,RA 05
31,RA 06
32,RA 07
33,RA 08
34,RA 09
35,RA10
36,RAH 01
37,RAH 02
38,RAH 03
39,RAH 04
40,RAH 05
41,RAH 06
42,RAH 07
43,RAH 08
44,RAH 09
45,RAH 10
46,RPH 01
47,RPH 02
48,RPH 03
49,RPH 04
50,RPH 05
51,RPH 06
52,RPH 07
53,RPH 08
54,RPH 09
55,RPH 10
