,channelsKeep
0,A 10
1,A 11
2,A 12
3,A 13
4,A 14
5,A 15
6,A 16
7,A 17
8,A 18
9,A 19
10,A 20
11,A 21
12,A 22
13,A 23
14,A 24
15,A 25
16,A 26
17,A 27
18,A 28
19,A 29
20,A 30
21,A 31
22,A 32
23,A 33
24,A 34
25,A 35
26,A 36
27,A 37
28,A 38
29,A 39
30,A 40
31,A 41
32,A 42
33,A 43
34,A 44
35,A 45
36,A 46
37,A 47
38,A 48
39,A 49
40,A 50
41,A 51
42,A 52
43,A 53
44,A 54
45,A 55
46,A 56
47,A 57
48,A 58
49,A 59
50,A 60
51,A 61
52,A 62
53,A 63
54,A 64
