,channel_list
0,EEG DA_01-REF
1,EEG DA_02-REF
2,EEG DA_03-REF
3,EEG DA_04-REF
4,EEG DA_05-REF
5,EEG DA_06-REF
6,EEG DH_01-REF
7,EEG DH_02-REF
8,EEG DH_03-REF
9,EEG DH_04-REF
10,EEG DH_05-REF
11,EEG DH_06-REF
12,EEG DL_01-REF
13,EEG DL_02-REF
14,EEG DL_03-REF
15,EEG DL_04-REF
16,EEG GA_01-REF
17,EEG GA_02-REF
18,EEG GA_03-REF
19,EEG GA_04-REF
20,EEG GA_05-REF
21,EEG GA_06-REF
22,EEG GA_07-REF
23,EEG GA_08-REF
24,EEG GA_09-REF
25,EEG GA_10-REF
26,EEG GA_11-REF
27,EEG GA_12-REF
28,EEG GA_13-REF
29,EEG GA_14-REF
30,EEG GA_15-REF
31,EEG GA_16-REF
32,EEG GA_17-REF
33,EEG GA_18-REF
34,EEG GA_19-REF
35,EEG GA_20-REF
36,EEG GA_21-REF
37,EEG GA_22-REF
38,EEG GA_23-REF
39,EEG GA_24-REF
40,EEG GA_25-REF
41,EEG GA_26-REF
42,EEG GA_27-REF
43,EEG GA_28-REF
44,EEG GA_29-REF
45,EEG GA_30-REF
46,EEG GA_31-REF
47,EEG GA_32-REF
48,EEG GA_33-REF
49,EEG GA_34-REF
50,EEG GA_35-REF
51,EEG GA_36-REF
52,EEG GA_37-REF
53,EEG GA_38-REF
54,EEG GA_39-REF
55,EEG GA_40-REF
56,EEG GA_41-REF
57,EEG GA_42-REF
58,EEG GA_43-REF
59,EEG GA_44-REF
60,EEG GA_45-REF
61,EEG GA_46-REF
62,EEG GA_47-REF
63,EEG GA_48-REF
64,EEG GB_01-REF
65,EEG GB_02-REF
66,EEG GB_03-REF
67,EEG GB_04-REF
68,EEG GB_05-REF
69,EEG GB_06-REF
70,EEG GB_07-REF
71,EEG GB_08-REF
72,EEG GB_09-REF
73,EEG GB_10-REF
74,EEG GB_11-REF
75,EEG GB_12-REF
76,EEG GB_13-REF
77,EEG GB_14-REF
78,EEG GB_15-REF
79,EEG GB_16-REF
80,EEG SC_01-REF
81,EEG SC_02-REF
82,EEG SC_03-REF
83,EEG SC_04-REF
84,EEG SC_05-REF
85,EEG SC_06-REF
86,EEG SD_01-REF
87,EEG SD_02-REF
88,EEG SD_03-REF
89,EEG SD_04-REF
90,EEG SD_05-REF
91,EEG SD_06-REF
