cha_labels,F:\UCLH_GLAS\icEEG\1005\20110621_1309.edf,F:\UCLH_GLAS\icEEG\1005\20110621_13091.edf,F:\UCLH_GLAS\icEEG\1005\20110621_13093.edf,F:\UCLH_GLAS\icEEG\1005\20110621_13095.edf,F:\UCLH_GLAS\icEEG\1005\20110621_1909.edf,F:\UCLH_GLAS\icEEG\1005\20110622_1310.edf,F:\UCLH_GLAS\icEEG\1005\20110623_1311.edf,F:\UCLH_GLAS\icEEG\1005\20110624_1312.edf,F:\UCLH_GLAS\icEEG\1005\20110625_1313.edf,F:\UCLH_GLAS\icEEG\1005\20110625_1913.edf,F:\UCLH_GLAS\icEEG\1005\20110626_1313.edf,F:\UCLH_GLAS\icEEG\1005\20110626_1914.edf,F:\UCLH_GLAS\icEEG\1005\20110627_0114.edf,F:\UCLH_GLAS\icEEG\1005\20110627_0714.edf,F:\UCLH_GLAS\icEEG\1005\20110627_1314.edf,F:\UCLH_GLAS\icEEG\1005\20110627_13141.edf,F:\UCLH_GLAS\icEEG\1005\20110627_13142.edf,F:\UCLH_GLAS\icEEG\1005\20110627_13143.edf,F:\UCLH_GLAS\icEEG\1005\20110627_13144.edf,F:\UCLH_GLAS\icEEG\1005\20110627_13145.edf,F:\UCLH_GLAS\icEEG\1005\20110627_13146.edf,F:\UCLH_GLAS\icEEG\1005\20110627_13147.edf,F:\UCLH_GLAS\icEEG\1005\20110627_13148.edf,F:\UCLH_GLAS\icEEG\1005\20110627_13149.edf,F:\UCLH_GLAS\icEEG\1005\20110627_1915.edf,F:\UCLH_GLAS\icEEG\1005\20110628_0115.edf,F:\UCLH_GLAS\icEEG\1005\20110628_0716.edf,F:\UCLH_GLAS\icEEG\1005\20110628_07161.edf,F:\UCLH_GLAS\icEEG\1005\20110628_07162.edf,F:\UCLH_GLAS\icEEG\1005\20110628_1409.edf,F:\UCLH_GLAS\icEEG\1005\20110628_14091.edf,F:\UCLH_GLAS\icEEG\1005\20110628_14092.edf,F:\UCLH_GLAS\icEEG\1005\20110628_14093.edf,F:\UCLH_GLAS\icEEG\1005\20110628_14094.edf,F:\UCLH_GLAS\icEEG\1005\20110628_14095.edf,F:\UCLH_GLAS\icEEG\1005\20110628_14096.edf,F:\UCLH_GLAS\icEEG\1005\20110628_2010.edf,F:\UCLH_GLAS\icEEG\1005\20110629_0810.edf,F:\UCLH_GLAS\icEEG\1005\20110629_08101.edf,F:\UCLH_GLAS\icEEG\1005\20110629_08102.edf,F:\UCLH_GLAS\icEEG\1005\20110629_1411.edf,F:\UCLH_GLAS\icEEG\1005\20110629_2011.edf,F:\UCLH_GLAS\icEEG\1005\20110630_02111.edf,F:\UCLH_GLAS\icEEG\1005\20110630_02112.edf
EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,,EEG GA_01-REF
EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,,EEG GA_02-REF
EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,,EEG GA_03-REF
EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,,EEG GA_04-REF
EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,,EEG GA_05-REF
EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,,EEG GA_06-REF
EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,,EEG GA_07-REF
EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,,EEG GA_08-REF
EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,,EEG GA_09-REF
