,edf_path,why_edf_excluded
0,F:\UCLH_GLAS\icEEG\GLAS047\Xxxxxx~ Xxxxxx_97d30c14-8ed7-4b1e-b930-ddc50dc7133f.edf,chan_notInList
1,F:\UCLH_GLAS\icEEG\GLAS047\Xxxxxx~ Xxxxxx_eeb1b4ca-5a74-41c3-8ec0-7602f6749628.edf,chan_notInList
