,channel_list
0,EEG LA1
1,EEG LA2
2,EEG LA3
3,EEG LA4
4,EEG LA5
5,EEG LA6
6,EEG LaC1
7,EEG LaC2
8,EEG LaC3
9,EEG LaC4
10,EEG LaC5
11,EEG LaC6
12,EEG LaC7
13,EEG LaC8
14,EEG LaC9
15,EEG LaC10
16,EEG LaH1
17,EEG LaH2
18,EEG LaH3
19,EEG LaH4
20,EEG LaH5
21,EEG LaH6
22,EEG LmO1
23,EEG LmO2
24,EEG LmO3
25,EEG LmO4
26,EEG LmO5
27,EEG LmO6
28,EEG LmO7
29,EEG LmO8
30,EEG LmO9
31,EEG LmO10
32,EEG RA1
33,EEG RA2
34,EEG RA3
35,EEG RA4
36,EEG RA5
37,EEG RA6
38,EEG RaC1
39,EEG RaC2
40,EEG RaC3
41,EEG RaC4
42,EEG RaC5
43,EEG RaC6
44,EEG RaC7
45,EEG RaC8
46,EEG RaC9
47,EEG RaC10
48,EEG RaH1
49,EEG RaH2
50,EEG RaH3
51,EEG RaH4
52,EEG RaH5
53,EEG RaH6
54,EEG RmO1
55,EEG RmO2
56,EEG RmO3
57,EEG RmO4
58,EEG RmO5
59,EEG RmO6
60,EEG RmO7
61,EEG RmO8
62,EEG RmO9
63,EEG RmO10
64,EEG RpC1
65,EEG RpC2
66,EEG RpC3
67,EEG RpC4
68,EEG RpC5
69,EEG RpC6
70,EEG RpC7
71,EEG RpC8
72,EEG RpC9
73,EEG RpC10
74,EEG RpH1
75,EEG RpH2
76,EEG RpH3
77,EEG RpH4
78,EEG RpH5
79,EEG RpH6
