cha_labels,F:\UCLH_GLAS\icEEG\1379\e3ax_20160719_1100.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160719_1416.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160719_1449.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160719_1503.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160719_1848.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160720_0048.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160720_0648.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160720_1248.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160720_1848.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160721_0048.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160721_0648.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160721_1314.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160721_1914.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160722_0114.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160722_0714.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160722_1322.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160722_2209.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160722_2340.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160723_0111.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160723_0242.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160723_0413.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160723_0544.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160723_0715.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160723_0846.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160723_1017.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160723_1052.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160723_1355.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160723_1658.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160723_2001.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160723_2304.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160724_0207.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160724_0510.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160724_0813.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160724_1116.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160724_1419.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160724_1722.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160724_2025.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160724_2328.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160725_0231.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160725_0534.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160725_0837.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160725_1639.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160725_1931.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160725_2223.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160726_0115.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160726_0407.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160726_0659.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160726_1535.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160726_1827.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160726_2119.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160727_0303.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160727_0555.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160727_0847.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160727_1139.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160727_2015.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160727_2307.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160728_0159.edf,F:\UCLH_GLAS\icEEG\1379\e3ax_20160728_0451.edf
EEG A_R1,EEG A_R1,EEG A_R1,EEG A_R1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EEG A_R2,EEG A_R2,EEG A_R2,EEG A_R2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EEG A_R3,EEG A_R3,EEG A_R3,EEG A_R3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EEG A_R4,EEG A_R4,EEG A_R4,EEG A_R4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EEG A_R5,EEG A_R5,EEG A_R5,EEG A_R5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EEG A_R6,EEG A_R6,EEG A_R6,EEG A_R6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EEG B_R1,EEG B_R1,EEG B_R1,EEG B_R1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EEG B_R2,EEG B_R2,EEG B_R2,EEG B_R2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EEG B_R3,EEG B_R3,EEG B_R3,EEG B_R3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
