,channelsKeep
0,EEG LA1
1,EEG LA2
2,EEG LA3
3,EEG LA4
4,EEG LA5
5,EEG LA6
6,EEG LaC1
7,EEG LaC10
8,EEG LaC2
9,EEG LaC3
10,EEG LaC4
11,EEG LaC5
12,EEG LaC6
13,EEG LaC7
14,EEG LaC8
15,EEG LaC9
16,EEG LaH1
17,EEG LaH2
18,EEG LaH3
19,EEG LaH4
20,EEG LaH5
21,EEG LaH6
22,EEG LmO1
23,EEG LmO10
24,EEG LmO2
25,EEG LmO3
26,EEG LmO4
27,EEG LmO5
28,EEG LmO6
29,EEG LmO7
30,EEG LmO8
31,EEG LmO9
32,EEG RA1
33,EEG RA2
34,EEG RA3
35,EEG RA4
36,EEG RA5
37,EEG RA6
38,EEG RaC1
39,EEG RaC10
40,EEG RaC2
41,EEG RaC3
42,EEG RaC6
43,EEG RaC7
44,EEG RaC8
45,EEG RaC9
46,EEG RaH1
47,EEG RaH2
48,EEG RaH3
49,EEG RaH4
50,EEG RaH5
51,EEG RaH6
52,EEG RmO1
53,EEG RmO10
54,EEG RmO2
55,EEG RmO3
56,EEG RmO4
57,EEG RmO5
58,EEG RmO6
59,EEG RmO7
60,EEG RmO8
61,EEG RmO9
62,EEG RpC1
63,EEG RpC10
64,EEG RpC2
65,EEG RpC3
66,EEG RpC4
67,EEG RpC5
68,EEG RpC6
69,EEG RpC7
70,EEG RpC8
71,EEG RpC9
72,EEG RpH1
73,EEG RpH2
74,EEG RpH3
75,EEG RpH4
76,EEG RpH5
77,EEG RpH6
