,start_overlap,end_overlap,duration_overlap,duration_overlap_sec
0,2015-06-21 05:29:54,2015-06-21 05:29:54,0 days 00:00:01,1.0
1,2015-06-21 11:29:52,2015-06-21 11:29:52,0 days 00:00:01,1.0
2,2015-06-22 05:29:46,2015-06-22 05:29:46,0 days 00:00:01,1.0
3,2015-06-22 11:29:44,2015-06-22 11:29:44,0 days 00:00:01,1.0
4,2015-06-22 20:07:03,2015-06-22 20:07:03,0 days 00:00:01,1.0
5,2015-06-23 02:07:01,2015-06-23 02:07:01,0 days 00:00:01,1.0
6,2015-06-23 14:06:57,2015-06-23 14:06:57,0 days 00:00:01,1.0
7,2015-06-24 02:06:54,2015-06-24 02:06:54,0 days 00:00:01,1.0
8,2015-06-24 08:06:52,2015-06-24 08:06:52,0 days 00:00:01,1.0
9,2015-06-24 14:06:50,2015-06-24 14:06:50,0 days 00:00:01,1.0
10,2015-06-24 20:06:48,2015-06-24 20:06:48,0 days 00:00:01,1.0
11,2015-06-25 02:06:46,2015-06-25 02:06:46,0 days 00:00:01,1.0
12,2015-06-25 08:06:44,2015-06-25 08:06:44,0 days 00:00:01,1.0
13,2015-06-25 20:06:43,2015-06-25 20:06:44,0 days 00:00:02,2.0
14,2015-06-26 02:06:41,2015-06-26 02:06:41,0 days 00:00:01,1.0
15,2015-06-26 08:06:39,2015-06-26 08:06:39,0 days 00:00:01,1.0
