,channelsKeep
0,EEG AC1
1,EEG AC10
2,EEG AC2
3,EEG AC3
4,EEG AC4
5,EEG AC5
6,EEG AC6
7,EEG AC7
8,EEG AC8
9,EEG AC9
10,EEG AH1
11,EEG AH2
12,EEG AH3
13,EEG AH4
14,EEG AH5
15,EEG AH6
16,EEG AM1
17,EEG AM2
18,EEG AM3
19,EEG AM4
20,EEG AM5
21,EEG AM6
22,EEG IFG1
23,EEG IFG2
24,EEG IFG3
25,EEG IFG4
26,EEG IFG5
27,EEG IFG6
28,EEG LOF1
29,EEG LOF10
30,EEG LOF2
31,EEG LOF3
32,EEG LOF4
33,EEG LOF5
34,EEG LOF6
35,EEG LOF7
36,EEG LOF8
37,EEG LOF9
38,EEG MFG1
39,EEG MFG10
40,EEG MFG2
41,EEG MFG3
42,EEG MFG4
43,EEG MFG5
44,EEG MFG6
45,EEG MFG7
46,EEG MFG8
47,EEG MFG9
48,EEG PH1
49,EEG PH2
50,EEG PH3
51,EEG PH4
52,EEG PH5
53,EEG PH6
54,EEG SMA1
55,EEG SMA2
56,EEG SMA3
57,EEG SMA4
58,EEG SMA5
59,EEG SMA6
60,EEG SMA7
61,EEG SMA8
62,EEG TP1
63,EEG TP2
64,EEG TP3
65,EEG TP4
66,EEG TP5
67,EEG TP6
68,EEG TP7
69,EEG TP8
70,EEG maO1
71,EEG maO10
72,EEG maO2
73,EEG maO3
74,EEG maO4
75,EEG maO5
76,EEG maO6
77,EEG maO7
78,EEG maO8
79,EEG maO9
80,EEG mpO1
81,EEG mpO10
82,EEG mpO2
83,EEG mpO3
84,EEG mpO4
85,EEG mpO5
86,EEG mpO6
87,EEG mpO7
88,EEG mpO8
89,EEG mpO9
90,EEG prS1
91,EEG prS10
92,EEG prS2
93,EEG prS3
94,EEG prS4
95,EEG prS5
96,EEG prS6
97,EEG prS7
98,EEG prS8
99,EEG prS9
