,start_overlap,end_overlap,duration_overlap,duration_overlap_sec
0,2009-07-26 13:30:35,2009-07-26 13:35:49,0 days 00:05:15,315.0
1,2009-07-26 16:01:17,2009-07-26 16:01:19,0 days 00:00:03,3.0
2,2009-07-27 08:00:01,2009-07-27 08:07:30,0 days 00:07:30,450.0
3,2009-07-29 11:41:48,2009-07-29 11:45:50,0 days 00:04:03,243.0
4,2009-07-29 11:45:53,2009-07-29 12:58:23,0 days 01:12:31,4351.0
5,2009-07-29 14:24:15,2009-07-29 14:24:43,0 days 00:00:29,29.0
6,2009-07-29 14:24:50,2009-07-29 14:25:02,0 days 00:00:13,13.0
7,2009-07-29 14:25:05,2009-07-29 14:25:25,0 days 00:00:21,21.0
8,2009-07-29 14:25:28,2009-07-29 15:07:20,0 days 00:41:53,2513.0
9,2009-07-29 18:00:06,2009-07-29 18:00:09,0 days 00:00:04,4.0
10,2009-07-30 09:30:08,2009-07-30 09:30:08,0 days 00:00:01,1.0
11,2009-07-30 09:30:27,2009-07-30 09:33:09,0 days 00:02:43,163.0
12,2009-07-30 09:31:00,2009-07-30 09:32:08,0 days 00:01:09,69.0
13,2009-07-30 09:32:12,2009-07-30 09:33:09,0 days 00:00:58,58.0
14,2009-07-30 09:31:00,2009-07-30 09:32:08,0 days 00:01:09,69.0
15,2009-07-30 09:32:12,2009-07-30 09:33:09,0 days 00:00:58,58.0
16,2009-07-30 09:33:47,2009-07-30 09:53:08,0 days 00:19:22,1162.0
17,2009-07-30 09:33:47,2009-07-30 09:53:08,0 days 00:19:22,1162.0
18,2009-07-30 09:53:19,2009-07-30 10:08:22,0 days 00:15:04,904.0
19,2009-07-30 09:53:19,2009-07-30 10:08:22,0 days 00:15:04,904.0
20,2009-07-30 10:08:28,2009-07-30 10:54:34,0 days 00:46:07,2767.0
21,2009-07-30 10:08:28,2009-07-30 10:54:34,0 days 00:46:07,2767.0
22,2009-07-30 10:54:51,2009-07-30 10:56:08,0 days 00:01:18,78.0
23,2009-07-30 10:54:51,2009-07-30 10:55:44,0 days 00:00:54,54.0
24,2009-07-30 09:33:47,2009-07-30 09:53:08,0 days 00:19:22,1162.0
25,2009-07-30 09:53:19,2009-07-30 10:08:22,0 days 00:15:04,904.0
26,2009-07-30 10:08:28,2009-07-30 10:54:34,0 days 00:46:07,2767.0
27,2009-07-30 10:54:51,2009-07-30 10:55:44,0 days 00:00:54,54.0
28,2009-07-30 12:54:17,2009-07-30 12:54:22,0 days 00:00:06,6.0
29,2009-07-30 12:55:14,2009-07-30 15:09:20,0 days 02:14:07,8047.0
30,2009-07-30 12:55:18,2009-07-30 12:55:48,0 days 00:00:31,31.0
31,2009-07-30 12:55:51,2009-07-30 18:09:54,0 days 05:14:04,18844.0
32,2009-07-30 12:55:18,2009-07-30 12:55:48,0 days 00:00:31,31.0
33,2009-07-30 12:55:51,2009-07-30 15:09:20,0 days 02:13:30,8010.0
