,edf_path,why_edf_excluded
0,F:\UCLH_GLAS\icEEG\1182\Y072_1\Patient26_LTM-FEBRUARY_t1_06112013103505\Pruned_1.edf,chan_notInList
1,F:\UCLH_GLAS\icEEG\1182\Y072_17\Patient11_LTM-MARCH_t1_05132013100505\Patient11_LTM-MARCH_t1_1.edf,chan_notInList
2,F:\UCLH_GLAS\icEEG\1182\Y072_9\Patient30_LTM-FEBRUARY_t12_06182013094305\Pruned_2.edf,sample_rate_1
