cha_labels,F:\UCLH_GLAS\icEEG\GLAS041\GLAS041_Mon.edf,F:\UCLH_GLAS\icEEG\GLAS041\GLAS041_Thu1.edf,F:\UCLH_GLAS\icEEG\GLAS041\GLAS041_Thu2.edf,F:\UCLH_GLAS\icEEG\GLAS041\GLAS041_Thu3.edf,F:\UCLH_GLAS\icEEG\GLAS041\GLAS041_Thu4.edf,F:\UCLH_GLAS\icEEG\GLAS041\GLAS041_Tue.edf,F:\UCLH_GLAS\icEEG\GLAS041\GLAS041_Tue2.edf,F:\UCLH_GLAS\icEEG\GLAS041\GLAS041_Tue3.edf,F:\UCLH_GLAS\icEEG\GLAS041\GLAS041_Wed.edf
Event,Event,Event,Event,Event,Event,Event,Event,Event,Event
LAM1,LAM1,LAM1,LAM1,LAM1,LAM1,LAM1,LAM1,LAM1,LAM1
LAM2,LAM2,LAM2,LAM2,LAM2,LAM2,LAM2,LAM2,LAM2,LAM2
LAM3,LAM3,LAM3,LAM3,LAM3,LAM3,LAM3,LAM3,LAM3,LAM3
LAM4,LAM4,LAM4,LAM4,LAM4,LAM4,LAM4,LAM4,LAM4,LAM4
LAM5,LAM5,LAM5,LAM5,LAM5,LAM5,LAM5,LAM5,LAM5,LAM5
LAM6,LAM6,LAM6,LAM6,LAM6,LAM6,LAM6,LAM6,LAM6,LAM6
LAM7,LAM7,LAM7,LAM7,LAM7,LAM7,LAM7,LAM7,LAM7,LAM7
LAM8,LAM8,LAM8,LAM8,LAM8,LAM8,LAM8,LAM8,LAM8,LAM8
LAM9,LAM9,LAM9,LAM9,LAM9,LAM9,LAM9,LAM9,LAM9,LAM9
LAM10,LAM10,LAM10,LAM10,LAM10,LAM10,LAM10,LAM10,LAM10,LAM10
LMH1,LMH1,LMH1,LMH1,LMH1,LMH1,LMH1,LMH1,LMH1,LMH1
LMH2,LMH2,LMH2,LMH2,LMH2,LMH2,LMH2,LMH2,LMH2,LMH2
LMH3,LMH3,LMH3,LMH3,LMH3,LMH3,LMH3,LMH3,LMH3,LMH3
LMH4,LMH4,LMH4,LMH4,LMH4,LMH4,LMH4,LMH4,LMH4,LMH4
LMH5,LMH5,LMH5,LMH5,LMH5,LMH5,LMH5,LMH5,LMH5,LMH5
LMH6,LMH6,LMH6,LMH6,LMH6,LMH6,LMH6,LMH6,LMH6,LMH6
LMH7,LMH7,LMH7,LMH7,LMH7,LMH7,LMH7,LMH7,LMH7,LMH7
LMH8,LMH8,LMH8,LMH8,LMH8,LMH8,LMH8,LMH8,LMH8,LMH8
LMH9,LMH9,LMH9,LMH9,LMH9,LMH9,LMH9,LMH9,LMH9,LMH9
LMH10,LMH10,LMH10,LMH10,LMH10,LMH10,LMH10,LMH10,LMH10,LMH10
