cha_labels,F:\UCLH_GLAS\icEEG\GLAS044\GLAS044_Mon.edf,F:\UCLH_GLAS\icEEG\GLAS044\GLAS044_Thu.edf,F:\UCLH_GLAS\icEEG\GLAS044\GLAS044_Tue.edf,F:\UCLH_GLAS\icEEG\GLAS044\GLAS044_Wed.edf
Event,Event,Event,Event,Event
LAH1,LAH1,LAH1,LAH1,LAH1
LAH2,LAH2,LAH2,LAH2,LAH2
LAH3,LAH3,LAH3,LAH3,LAH3
LAH4,LAH4,LAH4,LAH4,LAH4
LAH5,LAH5,LAH5,LAH5,LAH5
LAH6,LAH6,LAH6,LAH6,LAH6
LAH7,LAH7,LAH7,LAH7,LAH7
LAH8,LAH8,LAH8,LAH8,LAH8
LAH9,LAH9,LAH9,LAH9,LAH9
LAH10,LAH10,LAH10,LAH10,LAH10
LPH1,LPH1,LPH1,LPH1,LPH1
LPH2,LPH2,LPH2,LPH2,LPH2
LPH3,LPH3,LPH3,LPH3,LPH3
LPH4,LPH4,LPH4,LPH4,LPH4
LPH5,LPH5,LPH5,LPH5,LPH5
LPH6,LPH6,LPH6,LPH6,LPH6
LPH7,LPH7,LPH7,LPH7,LPH7
LPH8,LPH8,LPH8,LPH8,LPH8
LPH9,LPH9,LPH9,LPH9,LPH9
LPH10,LPH10,LPH10,LPH10,LPH10
LAS1,LAS1,LAS1,LAS1,LAS1
LAS2,LAS2,LAS2,LAS2,LAS2
LAS3,LAS3,LAS3,LAS3,LAS3
LAS4,LAS4,LAS4,LAS4,LAS4
LAS5,LAS5,LAS5,LAS5,LAS5
LAS6,LAS6,LAS6,LAS6,LAS6
LAS7,LAS7,LAS7,LAS7,LAS7
LAS8,LAS8,LAS8,LAS8,LAS8
LAS9,LAS9,LAS9,LAS9,LAS9
LAS10,LAS10,LAS10,LAS10,LAS10
LAI1,LAI1,LAI1,LAI1,LAI1
LAI2,LAI2,LAI2,LAI2,LAI2
LAI3,LAI3,LAI3,LAI3,LAI3
LAI4,LAI4,LAI4,LAI4,LAI4
LAI5,LAI5,LAI5,LAI5,LAI5
LAI6,LAI6,LAI6,LAI6,LAI6
LAI7,LAI7,LAI7,LAI7,LAI7
