,channelsKeep
0,AL1
1,AL2
2,AL3
3,AL4
4,AL5
5,AL6
6,IL1
7,IL2
8,IL3
9,IL4
10,IL5
11,MC1
12,MC2
13,MC3
14,MC4
15,MC5
16,ML1
17,ML2
18,ML3
19,ML4
20,ML5
21,ML6
22,PM1
23,PM2
24,PM3
25,PM4
26,PM5
27,PM6
28,PM7
29,SL1
30,SL2
31,SL3
32,SL4
33,SL5
34,SL6
35,SL7
36,SMA1
37,SMA2
38,SMA3
39,SMA4
40,SMA5
41,SMA6
