,edf_path,why_edf_excluded
0,F:\UCLH_GLAS\icEEG\GLAS040\Xxxxxx~ Xxxxxx_5cd84dd9-a3d9-4779-9305-485671198a33.edf,chan_notInList
1,F:\UCLH_GLAS\icEEG\GLAS040\Xxxxxx~ Xxxxxx_f395f423-22d8-472b-b27e-fd6fa598856c.edf,chan_notInList
