,channel_list
0,AL1
1,AL2
2,AL3
3,AL4
4,AL5
5,AL6
6,ML1
7,ML2
8,ML3
9,ML4
10,ML5
11,ML6
12,SL1
13,SL2
14,SL3
15,SL4
16,SL5
17,SL6
18,SL7
19,PM1
20,PM2
21,PM3
22,PM4
23,PM5
24,PM6
25,PM7
26,MC1
27,MC2
28,MC3
29,MC4
30,MC5
31,SMA1
32,SMA2
33,SMA3
34,SMA4
35,SMA5
36,SMA6
37,IL1
38,IL2
39,IL3
40,IL4
41,IL5
