,channel_list
0,EEG A_01-REF
1,EEG A_02-REF
2,EEG A_03-REF
3,EEG A_04-REF
4,EEG A_05-REF
5,EEG A_06-REF
6,EEG AH_01-REF
7,EEG AH_02-REF
8,EEG AH_03-REF
9,EEG AH_04-REF
10,EEG AH_05-REF
11,EEG AH_06-REF
12,EEG GA_01-REF
13,EEG GA_02-REF
14,EEG GA_03-REF
15,EEG GA_04-REF
16,EEG GA_05-REF
17,EEG GA_06-REF
18,EEG GA_07-REF
19,EEG GA_08-REF
20,EEG GA_09-REF
21,EEG GA_10-REF
22,EEG GA_11-REF
23,EEG GA_12-REF
24,EEG GA_13-REF
25,EEG GA_14-REF
26,EEG GA_15-REF
27,EEG GA_16-REF
28,EEG GA_17-REF
29,EEG GA_18-REF
30,EEG GA_19-REF
31,EEG GA_20-REF
32,EEG GA_21-REF
33,EEG GA_22-REF
34,EEG GA_23-REF
35,EEG GA_24-REF
36,EEG GA_25-REF
37,EEG GA_26-REF
38,EEG GA_27-REF
39,EEG GA_28-REF
40,EEG GA_29-REF
41,EEG GA_30-REF
42,EEG GA_31-REF
43,EEG GA_32-REF
44,EEG GB_01-REF
45,EEG GB_02-REF
46,EEG GB_03-REF
47,EEG GB_04-REF
48,EEG GB_05-REF
49,EEG GB_06-REF
50,EEG GB_07-REF
51,EEG GB_08-REF
52,EEG GB_09-REF
53,EEG GB_10-REF
54,EEG GB_11-REF
55,EEG GB_12-REF
56,EEG GB_13-REF
57,EEG GB_14-REF
58,EEG GB_15-REF
59,EEG GB_16-REF
60,EEG GB_17-REF
61,EEG GB_18-REF
62,EEG GB_19-REF
63,EEG GB_20-REF
64,EEG GB_21-REF
65,EEG GB_22-REF
66,EEG GB_23-REF
67,EEG GB_24-REF
68,EEG GB_25-REF
69,EEG GB_26-REF
70,EEG GB_27-REF
71,EEG GB_28-REF
72,EEG GB_29-REF
73,EEG GB_30-REF
74,EEG GB_31-REF
75,EEG GB_32-REF
76,EEG PH_01-REF
77,EEG PH_02-REF
78,EEG PH_03-REF
79,EEG PH_04-REF
80,EEG PH_05-REF
81,EEG PH_06-REF
