,edf_path,why_edf_excluded
0,F:\UCLH_GLAS\icEEG\851\W158_20\Patient31t1_07292009113840\Patient31t1_3.edf,sample_rate_1
1,F:\UCLH_GLAS\icEEG\851\W158_20\Patient32t1_07292009142319\Patient32t1_5.edf,sample_rate_1
2,F:\UCLH_GLAS\icEEG\851\W158_22\Patient33t1_07302009093011\Patient33t1_3.edf,sample_rate_1
3,F:\UCLH_GLAS\icEEG\851\W158_24\Patient34t1_07302009125328\Patient34t1_3.edf,sample_rate_1
