,edf_path,why_edf_excluded
0,F:\UCLH_GLAS\icEEG\934\W641_2\Pruned_11252010161432\Pruned_2.edf,sample_rate_1
1,F:\UCLH_GLAS\icEEG\934\W641_2\Pruned_11252010161432\Pruned_6.edf,sample_rate_1
2,F:\UCLH_GLAS\icEEG\934\W641_3\Patient3t1_11242010190605\Pruned_4.edf,sample_rate_1
3,F:\UCLH_GLAS\icEEG\934\W641_4\Pruned_11262010181435\Pruned_2.edf,sample_rate_1
4,F:\UCLH_GLAS\icEEG\934\W641_5\Pruned_11262010182128\Pruned_2.edf,sample_rate_1
5,F:\UCLH_GLAS\icEEG\934\W641_5\Pruned_11262010182128\Pruned_4.edf,sample_rate_1
