cha_labels,F:\UCLH_GLAS\icEEG\1211\20130802_1430-1630.edf,F:\UCLH_GLAS\icEEG\1211\20130802_1635.edf,F:\UCLH_GLAS\icEEG\1211\20130802_2235.edf,F:\UCLH_GLAS\icEEG\1211\20130803_0436.edf,F:\UCLH_GLAS\icEEG\1211\20130803_1036.edf,F:\UCLH_GLAS\icEEG\1211\20130803_1636.edf,F:\UCLH_GLAS\icEEG\1211\20130803_2236.edf,F:\UCLH_GLAS\icEEG\1211\20130804_0437.edf,F:\UCLH_GLAS\icEEG\1211\20130804_1622.edf,F:\UCLH_GLAS\icEEG\1211\20130804_2222.edf,F:\UCLH_GLAS\icEEG\1211\20130805_0422.edf,F:\UCLH_GLAS\icEEG\1211\20130805_1507.edf,F:\UCLH_GLAS\icEEG\1211\20130805_15071.edf,F:\UCLH_GLAS\icEEG\1211\20130805_15072.edf,F:\UCLH_GLAS\icEEG\1211\20130805_2107.edf,F:\UCLH_GLAS\icEEG\1211\20130806_0307.edf,F:\UCLH_GLAS\icEEG\1211\20130806_0907.edf,F:\UCLH_GLAS\icEEG\1211\20130806_09071.edf,F:\UCLH_GLAS\icEEG\1211\20130806_09072.edf,F:\UCLH_GLAS\icEEG\1211\20130806_1508.edf,F:\UCLH_GLAS\icEEG\1211\20130806_15081.edf,F:\UCLH_GLAS\icEEG\1211\20130806_2108.edf,F:\UCLH_GLAS\icEEG\1211\20130807_0308.edf,F:\UCLH_GLAS\icEEG\1211\20130807_1509.edf
EEG GA_01-REF,EEG GA_01-REF,,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF,,EEG GA_01-REF,,,EEG GA_01-REF,EEG GA_01-REF,EEG GA_01-REF
EEG GA_02-REF,EEG GA_02-REF,,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF,,EEG GA_02-REF,,,EEG GA_02-REF,EEG GA_02-REF,EEG GA_02-REF
EEG GA_03-REF,EEG GA_03-REF,,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF,,EEG GA_03-REF,,,EEG GA_03-REF,EEG GA_03-REF,EEG GA_03-REF
EEG GA_04-REF,EEG GA_04-REF,,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF,,EEG GA_04-REF,,,EEG GA_04-REF,EEG GA_04-REF,EEG GA_04-REF
EEG GA_05-REF,EEG GA_05-REF,,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF,,EEG GA_05-REF,,,EEG GA_05-REF,EEG GA_05-REF,EEG GA_05-REF
EEG GA_06-REF,EEG GA_06-REF,,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF,,EEG GA_06-REF,,,EEG GA_06-REF,EEG GA_06-REF,EEG GA_06-REF
EEG GA_07-REF,EEG GA_07-REF,,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF,,EEG GA_07-REF,,,EEG GA_07-REF,EEG GA_07-REF,EEG GA_07-REF
EEG GA_08-REF,EEG GA_08-REF,,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,EEG GA_08-REF,,EEG GA_08-REF,,,,,
EEG GA_09-REF,EEG GA_09-REF,,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF,,EEG GA_09-REF,,,EEG GA_09-REF,EEG GA_09-REF,EEG GA_09-REF
EEG GA_10-REF,EEG GA_10-REF,,EEG GA_10-REF,EEG GA_10-REF,EEG GA_10-REF,EEG GA_10-REF,EEG GA_10-REF,EEG GA_10-REF,EEG GA_10-REF,EEG GA_10-REF,EEG GA_10-REF,EEG GA_10-REF,EEG GA_10-REF,EEG GA_10-REF,EEG GA_10-REF,EEG GA_10-REF,EEG GA_10-REF,,EEG GA_10-REF,,,EEG GA_10-REF,EEG GA_10-REF,EEG GA_10-REF
EEG GA_11-REF,EEG GA_11-REF,,EEG GA_11-REF,EEG GA_11-REF,EEG GA_11-REF,EEG GA_11-REF,EEG GA_11-REF,EEG GA_11-REF,EEG GA_11-REF,EEG GA_11-REF,EEG GA_11-REF,EEG GA_11-REF,EEG GA_11-REF,EEG GA_11-REF,EEG GA_11-REF,EEG GA_11-REF,EEG GA_11-REF,,EEG GA_11-REF,,,EEG GA_11-REF,EEG GA_11-REF,EEG GA_11-REF
