,edf_path,why_edf_excluded
0,F:\UCLH_GLAS\icEEG\1211\20130802_1635.edf,chan_notInList
1,F:\UCLH_GLAS\icEEG\1211\20130806_09071.edf,sample_rate_1
2,F:\UCLH_GLAS\icEEG\1211\20130806_1508.edf,chan_notInList
3,F:\UCLH_GLAS\icEEG\1211\20130806_15081.edf,chan_notInList
