,start_overlap,end_overlap,duration_overlap,duration_overlap_sec
0,2012-06-14 13:24:29,2012-06-14 13:24:55,0 days 00:00:27,27.0
1,2012-06-17 11:11:07,2012-06-17 15:05:31,0 days 03:54:25,14065.0
2,2012-06-17 15:04:48,2012-06-17 15:05:31,0 days 00:00:44,44.0
3,2012-06-17 15:04:48,2012-06-17 15:05:31,0 days 00:00:44,44.0
