,channel_list
0,GA 09
1,GA 10
2,GA 11
3,GA 12
4,GA 13
5,GA 14
6,GA 15
7,GA 16
8,GA 17
9,GA 18
10,GA 19
11,GA 20
12,GA 21
13,GA 22
14,GA 23
15,GA 24
16,GA 25
17,GA 26
18,GA 27
19,GA 28
20,GA 29
21,GA 30
22,GA 31
23,GA 32
24,GA 33
25,GA 34
26,GA 35
27,GA 36
28,GA 37
29,GA 38
30,GA 39
31,GA 40
32,GA 41
33,GA 42
34,GA 43
35,GA 44
36,GA 45
37,GA 46
38,GA 47
39,GA 48
40,GA 49
41,GA 50
42,GA 51
43,GA 52
44,GA 53
45,GA 54
46,GA 55
47,GA 56
48,GA 57
49,GA 58
50,GA 59
51,GA 60
52,GA 61
53,GA 62
54,GA 63
55,GA 64
56,GB 01
57,GB 02
58,GB 03
59,GB 04
60,GB 05
61,GB 06
62,GB 07
63,GB 08
64,GB 09
65,GB 10
66,GB 11
67,GB 12
68,GB 13
69,GB 14
70,GB 15
71,GB 16
72,GC 01
73,GC 02
74,GC 03
75,GC 04
76,GC 05
77,GC 06
78,GC 07
79,GC 08
80,GC 09
81,GC 10
82,GC 11
83,GC 12
84,GC 13
85,GC 14
86,GC 15
87,GC 16
88,GC 17
89,GC 18
90,GC 19
91,GC 20
92,GC 21
93,GC 22
94,GC 23
95,GC 24
96,GC 25
97,GC 26
98,GC 27
99,GC 28
100,GC 29
101,GC 30
102,GC 31
103,GC 32
104,IF 01
105,IF 02
106,IF 03
107,IF 04
108,IF 05
109,IF 06
110,SF 01
111,SF 02
112,SF 03
113,SF 04
114,SF 05
115,SF 06
116,SF 07
117,SF 08
